text,intent,satisfaction_score
I need to book an appointment with my primary care doctor I'm very worried.,book_appointment,2.452
"I can't make my appointment, cancel it Whenever possible.",cancel_appointment,5.520
Have my lab results come in yet Okay.,lab_results,3.431
Please cancel my visit with Dr. Smith Thank you!,cancel_appointment,7.709
"I've had a fever and cough for two days, what should I do",symptom_check,6.070
No rush. I have a sore throat and swollen glands,symptom_check,5.296
I have a sore throat and swollen glands No rush.,symptom_check,4.537
I need help with a billing dispute Whenever possible.,billing_query,3.732
No rush. Please process my prescription refill,prescription_refill,5.692
Book an appointment for a physical exam 🙂,book_appointment,8.727
Can you refill my prescription for insulin Not happy with the delay.,prescription_refill,2.493
Are my test results available Whenever possible.,lab_results,5.535
Thank you! Why was I charged for that visit,billing_query,7.603
Okay. I need to cancel my appointment tomorrow,cancel_appointment,4.099
I have a question about my medical bill,billing_query,4.694
Why was I charged for that visit Whenever possible.,billing_query,3.428
"I need to book an appointment with my primary care doctor That helps, thanks.",book_appointment,10.000
Please explain this insurance charge Thank you!,billing_query,8.540
Please process my prescription refill No rush.,prescription_refill,4.642
"🙂 I can't make my appointment, cancel it",cancel_appointment,8.574
Can you refill my prescription for insulin Much appreciated.,prescription_refill,8.099
I have a sore throat and swollen glands Please respond ASAP.,symptom_check,1.685
I want to see a doctor about a routine visit,book_appointment,4.674
Are my test results available,lab_results,5.693
"This is urgent. I can't make my appointment, cancel it",cancel_appointment,1.997
Much appreciated. Can I schedule a checkup for next week,book_appointment,10.000
Please cancel my visit with Dr. Smith Whenever possible.,cancel_appointment,4.426
I need a refill for my blood pressure medication Okay.,prescription_refill,6.007
I need a refill for my blood pressure medication No rush.,prescription_refill,4.687
This is urgent. Please cancel my visit with Dr. Smith,cancel_appointment,2.469
Please process my prescription refill,prescription_refill,5.871
"I can't make my appointment, cancel it Whenever possible.",cancel_appointment,4.876
I need to book an appointment with my primary care doctor Please respond ASAP.,book_appointment,2.706
This is urgent. Please explain this insurance charge,billing_query,2.901
Can I schedule a checkup for next week Okay.,book_appointment,5.674
🙂 I'm experiencing chest pain and shortness of breath,symptom_check,10.000
"I can't make my appointment, cancel it",cancel_appointment,4.776
I need help with a billing dispute Whenever possible.,billing_query,5.632
Can I schedule a checkup for next week No rush.,book_appointment,4.923
I need to book an appointment with my primary care doctor Not happy with the delay.,book_appointment,2.923
I want to see a doctor about a routine visit Not happy with the delay.,book_appointment,2.337
I want to see a doctor about a routine visit This is urgent.,book_appointment,1.433
Okay. I want to see a doctor about a routine visit,book_appointment,4.552
I have a sore throat and swollen glands Please respond ASAP.,symptom_check,2.452
I'm very worried. I want to see a doctor about a routine visit,book_appointment,0.665
I need a refill for my blood pressure medication No rush.,prescription_refill,4.405
Why was I charged for that visit,billing_query,3.874
This is urgent. I need a refill for my blood pressure medication,prescription_refill,0.632
"My child has a rash and a fever, is this serious I'm very worried.",symptom_check,1.911
"That helps, thanks. I want to see a doctor about a routine visit",book_appointment,8.428
"That helps, thanks. Please cancel my visit with Dr. Smith",cancel_appointment,8.691
Please respond ASAP. I want to see a doctor about a routine visit,book_appointment,0.896
"I'm very worried. My child has a rash and a fever, is this serious",symptom_check,1.305
"My child has a rash and a fever, is this serious I'm very worried.",symptom_check,0.000
Please process my prescription refill 🙂,prescription_refill,8.668
I want to know the outcome of my recent labs This is urgent.,lab_results,1.751
I want to know the outcome of my recent labs Okay.,lab_results,6.460
Much appreciated. Can I schedule a checkup for next week,book_appointment,9.043
Cancel my scheduled appointment I'm very worried.,cancel_appointment,0.941
I have a question about my medical bill Much appreciated.,billing_query,9.710
I need to cancel my appointment tomorrow 🙂,cancel_appointment,9.994
Have my lab results come in yet Not happy with the delay.,lab_results,2.090
Can you refill my prescription for insulin No rush.,prescription_refill,5.286
Please explain this insurance charge No rush.,billing_query,5.422
"Okay. My child has a rash and a fever, is this serious",symptom_check,4.764
I have a sore throat and swollen glands This is urgent.,symptom_check,1.883
I'm very worried. Requesting a refill for my meds,prescription_refill,1.373
Are my test results available Much appreciated.,lab_results,10.000
I have a sore throat and swollen glands Okay.,symptom_check,4.594
"This is urgent. I've had a fever and cough for two days, what should I do",symptom_check,0.316
Have my lab results come in yet,lab_results,6.102
Please cancel my visit with Dr. Smith,cancel_appointment,5.149
Can you send me my blood test results Please respond ASAP.,lab_results,3.092
"I can't make my appointment, cancel it Thank you!",cancel_appointment,6.762
Have my lab results come in yet I'm very worried.,lab_results,1.811
I need help with a billing dispute Not happy with the delay.,billing_query,0.944
Requesting a refill for my meds,prescription_refill,6.117
"That helps, thanks. Can you send me my blood test results",lab_results,8.763
Thank you! Please process my prescription refill,prescription_refill,8.416
I'm very worried. I need help with a billing dispute,billing_query,0.706
🙂 Please cancel my visit with Dr. Smith,cancel_appointment,7.480
"I can't make my appointment, cancel it",cancel_appointment,5.883
Please respond ASAP. I want to know the outcome of my recent labs,lab_results,1.996
Please explain this insurance charge I'm very worried.,billing_query,2.804
I have a question about my medical bill Not happy with the delay.,billing_query,0.000
"I'm very worried. I've had a fever and cough for two days, what should I do",symptom_check,2.628
I have a sore throat and swollen glands Much appreciated.,symptom_check,8.728
"That helps, thanks. I'm experiencing chest pain and shortness of breath",symptom_check,9.641
This is urgent. Have my lab results come in yet,lab_results,0.000
"I need help with a billing dispute That helps, thanks.",billing_query,9.958
"I have a question about my medical bill That helps, thanks.",billing_query,10.000
"That helps, thanks. I need a refill for my blood pressure medication",prescription_refill,8.915
Can you refill my prescription for insulin This is urgent.,prescription_refill,3.016
🙂 I want to know the outcome of my recent labs,lab_results,7.146
This is urgent. Can I schedule a checkup for next week,book_appointment,2.796
I have a question about my medical bill Please respond ASAP.,billing_query,2.253
"My child has a rash and a fever, is this serious Please respond ASAP.",symptom_check,1.310
I need a refill for my blood pressure medication,prescription_refill,4.950
I have a sore throat and swollen glands Whenever possible.,symptom_check,5.746
Requesting a refill for my meds 🙂,prescription_refill,8.572
I need help with a billing dispute,billing_query,4.370
Can you send me my blood test results Whenever possible.,lab_results,5.665
I need help with a billing dispute Please respond ASAP.,billing_query,0.706
I'm very worried. I want to know the outcome of my recent labs,lab_results,1.857
I'm experiencing chest pain and shortness of breath I'm very worried.,symptom_check,0.879
"That helps, thanks. Can you send me my blood test results",lab_results,7.219
Okay. I need a refill for my blood pressure medication,prescription_refill,6.397
Not happy with the delay. Please cancel my visit with Dr. Smith,cancel_appointment,1.089
"I can't make my appointment, cancel it Thank you!",cancel_appointment,9.275
Cancel my scheduled appointment I'm very worried.,cancel_appointment,0.587
I'm experiencing chest pain and shortness of breath I'm very worried.,symptom_check,3.546
Have my lab results come in yet Okay.,lab_results,4.331
Can I schedule a checkup for next week Please respond ASAP.,book_appointment,0.819
This is urgent. I need help with a billing dispute,billing_query,0.673
I need to cancel my appointment tomorrow Please respond ASAP.,cancel_appointment,2.006
"Why was I charged for that visit That helps, thanks.",billing_query,9.818
I have a question about my medical bill Please respond ASAP.,billing_query,4.008
I need help with a billing dispute 🙂,billing_query,8.939
Not happy with the delay. Can you send me my blood test results,lab_results,2.242
Please process my prescription refill 🙂,prescription_refill,9.579
Much appreciated. I need help with a billing dispute,billing_query,9.342
Can you refill my prescription for insulin I'm very worried.,prescription_refill,2.167
Book an appointment for a physical exam Whenever possible.,book_appointment,4.936
Cancel my scheduled appointment 🙂,cancel_appointment,7.958
Not happy with the delay. Can you send me my blood test results,lab_results,1.739
I need a refill for my blood pressure medication I'm very worried.,prescription_refill,2.396
Have my lab results come in yet,lab_results,4.706
I'm very worried. I need a refill for my blood pressure medication,prescription_refill,1.970
"Book an appointment for a physical exam That helps, thanks.",book_appointment,10.000
Book an appointment for a physical exam Thank you!,book_appointment,8.394
Can you send me my blood test results,lab_results,5.715
Much appreciated. I need to cancel my appointment tomorrow,cancel_appointment,9.843
I have a question about my medical bill Please respond ASAP.,billing_query,0.454
Have my lab results come in yet Not happy with the delay.,lab_results,2.433
"I need to cancel my appointment tomorrow That helps, thanks.",cancel_appointment,8.671
I want to know the outcome of my recent labs Not happy with the delay.,lab_results,3.658
This is urgent. Can you send me my blood test results,lab_results,2.984
I'm very worried. Can you send me my blood test results,lab_results,2.205
I have a question about my medical bill Thank you!,billing_query,9.183
Okay. Can I schedule a checkup for next week,book_appointment,6.014
Please respond ASAP. Can you send me my blood test results,lab_results,2.017
This is urgent. Please explain this insurance charge,billing_query,0.000
Can you send me my blood test results 🙂,lab_results,9.591
Much appreciated. Please process my prescription refill,prescription_refill,9.483
Can I schedule a checkup for next week Okay.,book_appointment,5.428
I need a refill for my blood pressure medication Please respond ASAP.,prescription_refill,2.491
"I can't make my appointment, cancel it This is urgent.",cancel_appointment,1.331
Please respond ASAP. I need a refill for my blood pressure medication,prescription_refill,1.998
I need to book an appointment with my primary care doctor 🙂,book_appointment,8.704
I need to book an appointment with my primary care doctor I'm very worried.,book_appointment,0.000
Please process my prescription refill Whenever possible.,prescription_refill,7.304
Have my lab results come in yet Much appreciated.,lab_results,9.125
I need to cancel my appointment tomorrow No rush.,cancel_appointment,4.493
"I have a question about my medical bill That helps, thanks.",billing_query,7.972
Book an appointment for a physical exam I'm very worried.,book_appointment,3.765
I need a refill for my blood pressure medication 🙂,prescription_refill,8.975
Have my lab results come in yet Please respond ASAP.,lab_results,3.302
Have my lab results come in yet,lab_results,5.687
I have a question about my medical bill I'm very worried.,billing_query,0.983
I'm very worried. Have my lab results come in yet,lab_results,3.343
